delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.375,-0.2626598,0.76900345,0.32812497,0.99599695,0.99599695,1.7368624
-1.375,-0.2626598,0.76900345,0.35,1.017872,1.017872,1.6720346
-1.25,-0.13765979,0.8713951,-0.35,0.31787196,0.31787196,4.2378736
-1.25,-0.13765979,0.8713951,-0.328125,0.33974695,0.33974695,4.313122
-1.25,-0.13765979,0.8713951,-0.30625,0.36162195,0.36162195,4.368815
-1.25,-0.13765979,0.8713951,-0.284375,0.38349694,0.38349694,4.3793
-1.25,-0.13765979,0.8713951,-0.2625,0.40537196,0.40537196,4.375429
-1.25,-0.13765979,0.8713951,-0.240625,0.42724696,0.42724696,4.349754
-1.25,-0.13765979,0.8713951,-0.21875,0.44912195,0.44912195,4.3214993
-1.25,-0.13765979,0.8713951,-0.19687499,0.47099698,0.47099698,4.248421
-1.25,-0.13765979,0.8713951,-0.175,0.49287194,0.49287194,4.16028
-1.25,-0.13765979,0.8713951,-0.153125,0.51474696,0.51474696,4.033398
-1.25,-0.13765979,0.8713951,-0.13125,0.5366219,0.5366219,3.8989453
-1.25,-0.13765979,0.8713951,-0.109375,0.55849695,0.55849695,3.753104
-1.25,-0.13765979,0.8713951,-0.087500006,0.580372,0.580372,3.609837
-1.25,-0.13765979,0.8713951,-0.06562501,0.60224694,0.60224694,3.4599147
-1.25,-0.13765979,0.8713951,-0.043749988,0.62412196,0.62412196,3.3189025
-1.25,-0.13765979,0.8713951,-0.021874994,0.6459969,0.6459969,3.1753578
-1.25,-0.13765979,0.8713951,0.0,0.66787195,0.66787195,3.0373793
-1.25,-0.13765979,0.8713951,0.021874994,0.689747,0.689747,2.9010954
-1.25,-0.13765979,0.8713951,0.043749988,0.71162194,0.71162194,2.7746572
-1.25,-0.13765979,0.8713951,0.06562501,0.73349696,0.73349696,2.6459727
-1.25,-0.13765979,0.8713951,0.087500006,0.7553719,0.7553719,2.5125353
-1.25,-0.13765979,0.8713951,0.109375,0.77724695,0.77724695,2.3893626
-1.25,-0.13765979,0.8713951,0.13125,0.799122,0.799122,2.27297
-1.25,-0.13765979,0.8713951,0.15312502,0.820997,0.820997,2.1619475
-1.25,-0.13765979,0.8713951,0.17499998,0.8428719,0.8428719,2.0561419
-1.25,-0.13765979,0.8713951,0.196875,0.8647469,0.8647469,1.9511919
-1.25,-0.13765979,0.8713951,0.21874997,0.88662195,0.88662195,1.8574945
-1.25,-0.13765979,0.8713951,0.240625,0.908497,0.908497,1.771477
-1.25,-0.13765979,0.8713951,0.26250002,0.930372,0.930372,1.692025
-1.25,-0.13765979,0.8713951,0.28437498,0.9522469,0.9522469,1.6183039
-1.25,-0.13765979,0.8713951,0.30625,0.9741219,0.9741219,1.5529784
-1.25,-0.13765979,0.8713951,0.32812497,0.99599695,0.99599695,1.4983338
-1.25,-0.13765979,0.8713951,0.35,1.017872,1.017872,1.4451786
-1.125,-0.012659788,0.98742,-0.35,0.31787196,0.31787196,4.2056584
-1.125,-0.012659788,0.98742,-0.328125,0.33974695,0.33974695,4.3139734
-1.125,-0.012659788,0.98742,-0.30625,0.36162195,0.36162195,4.361962
-1.125,-0.012659788,0.98742,-0.284375,0.38349694,0.38349694,4.381524
-1.125,-0.012659788,0.98742,-0.2625,0.40537196,0.40537196,4.3593144
-1.125,-0.012659788,0.98742,-0.240625,0.42724696,0.42724696,4.345995
-1.125,-0.012659788,0.98742,-0.21875,0.44912195,0.44912195,4.2738223
-1.125,-0.012659788,0.98742,-0.19687499,0.47099698,0.47099698,4.1848607
-1.125,-0.012659788,0.98742,-0.175,0.49287194,0.49287194,4.046767
-1.125,-0.012659788,0.98742,-0.153125,0.51474696,0.51474696,3.902978
-1.125,-0.012659788,0.98742,-0.13125,0.5366219,0.5366219,3.7433858
-1.125,-0.012659788,0.98742,-0.109375,0.55849695,0.55849695,3.5548246
-1.125,-0.012659788,0.98742,-0.087500006,0.580372,0.580372,3.4019778
-1.125,-0.012659788,0.98742,-0.06562501,0.60224694,0.60224694,3.248318
-1.125,-0.012659788,0.98742,-0.043749988,0.62412196,0.62412196,3.0948577
-1.125,-0.012659788,0.98742,-0.021874994,0.6459969,0.6459969,2.9386034
-1.125,-0.012659788,0.98742,0.0,0.66787195,0.66787195,2.7905843
-1.125,-0.012659788,0.98742,0.021874994,0.689747,0.689747,2.6408021
-1.125,-0.012659788,0.98742,0.043749988,0.71162194,0.71162194,2.4944444
-1.125,-0.012659788,0.98742,0.06562501,0.73349696,0.73349696,2.3554974
-1.125,-0.012659788,0.98742,0.087500006,0.7553719,0.7553719,2.2266452
-1.125,-0.012659788,0.98742,0.109375,0.77724695,0.77724695,2.1041152
-1.125,-0.012659788,0.98742,0.13125,0.799122,0.799122,1.9880149
-1.125,-0.012659788,0.98742,0.15312502,0.820997,0.820997,1.8715549
-1.125,-0.012659788,0.98742,0.17499998,0.8428719,0.8428719,1.7733687
-1.125,-0.012659788,0.98742,0.196875,0.8647469,0.8647469,1.6779088
-1.125,-0.012659788,0.98742,0.21874997,0.88662195,0.88662195,1.5907849
-1.125,-0.012659788,0.98742,0.240625,0.908497,0.908497,1.5138732
-1.125,-0.012659788,0.98742,0.26250002,0.930372,0.930372,1.4447311
-1.125,-0.012659788,0.98742,0.28437498,0.9522469,0.9522469,1.3891591
-1.125,-0.012659788,0.98742,0.30625,0.9741219,0.9741219,1.3382
-1.125,-0.012659788,0.98742,0.32812497,0.99599695,0.99599695,1.3001322
-1.125,-0.012659788,0.98742,0.35,1.017872,1.017872,1.2838689
-1.0,0.11234021,1.1188935,-0.35,0.31787196,0.31787196,4.1579437
-1.0,0.11234021,1.1188935,-0.328125,0.33974695,0.33974695,4.3219767
-1.0,0.11234021,1.1188935,-0.30625,0.36162195,0.36162195,4.356287
-1.0,0.11234021,1.1188935,-0.284375,0.38349694,0.38349694,4.3719807
-1.0,0.11234021,1.1188935,-0.2625,0.40537196,0.40537196,4.3587523
-1.0,0.11234021,1.1188935,-0.240625,0.42724696,0.42724696,4.3089395
-1.0,0.11234021,1.1188935,-0.21875,0.44912195,0.44912195,4.2227397
-1.0,0.11234021,1.1188935,-0.19687499,0.47099698,0.47099698,4.0814414
