delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,delta3,transformedValue3,naturalValue3,loss
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,-1.0,-1.50629,0.22173108,1.7478915
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,-0.75,-1.25629,0.28470835,2.291784
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,-0.5,-1.00629,0.36557275,2.9601598
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,-0.25,-0.75629,0.4694047,3.7977068
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,0.0,-0.50629,0.60272753,4.7991834
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,0.25,-0.25629002,0.7739175,5.9054685
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,0.5,-0.0062900186,0.9937297,7.1197486
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,0.75,0.24370998,1.2759743,8.451181
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,1.0,0.49370998,1.6383834,9.912956
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,-1.0,-1.50629,0.22173108,1.9504434
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,-0.75,-1.25629,0.28470835,2.4673014
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,-0.5,-1.00629,0.36557275,3.1168804
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,-0.25,-0.75629,0.4694047,3.9436383
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,0.0,-0.50629,0.60272753,4.9377127
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,0.25,-0.25629002,0.7739175,6.0416446
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,0.5,-0.0062900186,0.9937297,7.2564554
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,0.75,0.24370998,1.2759743,8.590401
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,1.0,0.49370998,1.6383834,10.056086
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,-1.0,-1.50629,0.22173108,2.0742419
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,-0.75,-1.25629,0.28470835,2.5829005
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,-0.5,-1.00629,0.36557275,3.2255003
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,-0.25,-0.75629,0.4694047,4.048082
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,0.0,-0.50629,0.60272753,5.040511
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,0.25,-0.25629002,0.7739175,6.1434236
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,0.5,-0.0062900186,0.9937297,7.3603196
