delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.3125,-0.040837437,-0.040837437,-0.058750004,0.2325036,0.2325036,3.9821591
-0.3125,-0.040837437,-0.040837437,-0.044062495,0.2471911,0.2471911,3.99788
-0.3125,-0.040837437,-0.040837437,-0.029374987,0.2618786,0.2618786,4.0129466
-0.3125,-0.040837437,-0.040837437,-0.014687508,0.2765661,0.2765661,4.0290914
-0.3125,-0.040837437,-0.040837437,0.0,0.2912536,0.2912536,4.053035
-0.3125,-0.040837437,-0.040837437,0.014687508,0.3059411,0.3059411,4.0872526
-0.3125,-0.040837437,-0.040837437,0.029374987,0.32062858,0.32062858,4.1257153
-0.3125,-0.040837437,-0.040837437,0.044062525,0.33531612,0.33531612,4.1582475
-0.3125,-0.040837437,-0.040837437,0.058750004,0.3500036,0.3500036,4.17471
-0.3125,-0.040837437,-0.040837437,0.07343748,0.36469108,0.36469108,4.1752005
-0.3125,-0.040837437,-0.040837437,0.08812502,0.37937862,0.37937862,4.1584263
-0.3125,-0.040837437,-0.040837437,0.1028125,0.3940661,0.3940661,4.1749525
-0.3125,-0.040837437,-0.040837437,0.11749998,0.40875357,0.40875357,4.2047067
-0.3125,-0.040837437,-0.040837437,0.13218752,0.4234411,0.4234411,4.216921
-0.3125,-0.040837437,-0.040837437,0.146875,0.4381286,0.4381286,4.219016
-0.3125,-0.040837437,-0.040837437,0.16156247,0.45281607,0.45281607,4.212318
-0.3125,-0.040837437,-0.040837437,0.17625001,0.4675036,0.4675036,4.2251816
-0.3125,-0.040837437,-0.040837437,0.19093749,0.4821911,0.4821911,4.213853
-0.3125,-0.040837437,-0.040837437,0.20562503,0.49687862,0.49687862,4.203831
-0.3125,-0.040837437,-0.040837437,0.2203125,0.5115661,0.5115661,4.217438
-0.3125,-0.040837437,-0.040837437,0.23499998,0.5262536,0.5262536,4.2276363
-0.3125,-0.040837437,-0.040837437,0.24968752,0.5409411,0.5409411,4.2084618
-0.3125,-0.040837437,-0.040837437,0.264375,0.5556286,0.5556286,4.1757236
-0.3125,-0.040837437,-0.040837437,0.27906248,0.5703161,0.5703161,4.171617
-0.3125,-0.040837437,-0.040837437,0.29375002,0.5850036,0.5850036,4.158609
-0.3125,-0.040837437,-0.040837437,0.3084375,0.5996911,0.5996911,4.1279325
-0.3125,-0.040837437,-0.040837437,0.32312497,0.6143786,0.6143786,4.0983477
-0.3125,-0.040837437,-0.040837437,0.3378125,0.6290661,0.6290661,4.0932684
-0.3125,-0.040837437,-0.040837437,0.3525,0.6437536,0.6437536,4.0811777
-0.3125,-0.040837437,-0.040837437,0.36718747,0.65844107,0.65844107,4.053493
-0.3125,-0.040837437,-0.040837437,0.381875,0.6731286,0.6731286,4.021904
-0.3125,-0.040837437,-0.040837437,0.3965625,0.6878161,0.6878161,4.0119843
-0.3125,-0.040837437,-0.040837437,0.41125003,0.7025036,0.7025036,4.0066667
-0.3125,-0.040837437,-0.040837437,0.4259375,0.7171911,0.7171911,3.9947362
-0.3125,-0.040837437,-0.040837437,0.44062498,0.7318786,0.7318786,3.9788308
-0.3125,-0.040837437,-0.040837437,0.45531252,0.7465661,0.7465661,3.9587376
-0.3125,-0.040837437,-0.040837437,0.47,0.7612536,0.7612536,3.9389951
-0.25,0.021662563,0.021662563,-0.47,-0.1787464,-0.1787464,3.3560345
-0.25,0.021662563,0.021662563,-0.4553125,-0.1640589,-0.1640589,3.3560345
-0.25,0.021662563,0.021662563,-0.440625,-0.14937142,-0.14937142,3.3560345
-0.25,0.021662563,0.021662563,-0.4259375,-0.1346839,-0.1346839,3.3560345
-0.25,0.021662563,0.021662563,-0.41125,-0.1199964,-0.1199964,3.3560345
-0.25,0.021662563,0.021662563,-0.39656252,-0.10530892,-0.10530892,3.3560345
-0.25,0.021662563,0.021662563,-0.381875,-0.09062141,-0.09062141,3.3560345
-0.25,0.021662563,0.021662563,-0.3671875,-0.0759339,-0.0759339,3.3560345
-0.25,0.021662563,0.021662563,-0.3525,-0.061246395,-0.061246395,3.3560345
-0.25,0.021662563,0.021662563,-0.33781248,-0.046558887,-0.046558887,3.3560345
-0.25,0.021662563,0.021662563,-0.323125,-0.03187141,-0.03187141,3.3560345
-0.25,0.021662563,0.021662563,-0.3084375,-0.0171839,-0.0171839,3.3560345
-0.25,0.021662563,0.021662563,-0.29375,-0.0024963915,-0.0024963915,3.3560345
